HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.slot0,Input.slot1,Answer.comments,Answer.general,Answer.question,Answer.similar,Answer.specific,Approve,Reject
3421H3BM9A2A5DB074ZUH3E9GR19JO,395K4VYE029Z6M20ENX5GZXUF6X651,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books",$0.25 ,Sat May 06 14:33:56 PDT 2017,3,BatchId:2793793;OriginalHitTemplateId:920937336;,3600,1296000,Sat May 13 14:33:56 PDT 2017,,,32AT8R96GMV4ASGNIB81TKOWADEUS7,A3PB0KSWXYUEAY,Approved,Sat May 06 16:02:12 PDT 2017,Sat May 06 16:05:04 PDT 2017,Sun May 21 16:05:04 PDT 2017,Sun May 07 13:33:17 PDT 2017,,,172,100% (64/64),100% (30/30),0% (0/0),I really enjoyed,Star Wars,no,Most movies in space are too sci-fi for me. Do you like sci-fi?,Really? Do you know they are coming out with another film in 2019?,"Star Wars is a classic and I have enjoyed all of the movies, especially The Phantom Menace.",George Lucas is my favorite director. Did you know he created Indiana Jones too?,,
3421H3BM9A2A5DB074ZUH3E9GR19JO,395K4VYE029Z6M20ENX5GZXUF6X651,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books",$0.25 ,Sat May 06 14:33:56 PDT 2017,3,BatchId:2793793;OriginalHitTemplateId:920937336;,3600,1296000,Sat May 13 14:33:56 PDT 2017,,,3BGYGHDBBY62LHQN5CJPWJG0TT5225,A2ZOM62DKMSWDK,Approved,Sun May 07 17:48:21 PDT 2017,Sun May 07 17:50:41 PDT 2017,Mon May 22 17:50:41 PDT 2017,Mon May 08 17:00:52 PDT 2017,,,140,100% (26/26),100% (16/16),0% (0/0),I really enjoyed,Star Wars,Love you guys!,"My favorite character was Harrison Ford's Han Solo, he was such a hottie!","Did you see the latest installment in the series, what was it called, ""Rogue One""?","I saw the very first ""Star Wars,"" in 1977!","Carrie Fisher was great as Princess Leia, too bad she died.",,
3421H3BM9A2A5DB074ZUH3E9GR19JO,395K4VYE029Z6M20ENX5GZXUF6X651,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books",$0.25 ,Sat May 06 14:33:56 PDT 2017,3,BatchId:2793793;OriginalHitTemplateId:920937336;,3600,1296000,Sat May 13 14:33:56 PDT 2017,,,3IUZPWIU1PTJEDSK82E0KMIJE0SWK9,A23DW9DGIRGRVZ,Approved,Sun May 07 09:25:09 PDT 2017,Sun May 07 09:27:10 PDT 2017,Mon May 22 09:27:10 PDT 2017,Sun May 07 12:04:16 PDT 2017,,,121,100% (2/2),0% (0/0),0% (0/0),I really enjoyed,Star Wars,,I have never really seen any star war movies.,Do you think there will be a sequel.,When did you see it.,What was the movie about?,,
3I7KR83SNAY5GXHIPPZ6IIEMVG19KN,395K4VYE029Z6M20ENX5GZXUF6X651,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books",$0.25 ,Sat May 06 14:33:56 PDT 2017,3,BatchId:2793793;OriginalHitTemplateId:920937336;,3600,1296000,Sat May 13 14:33:56 PDT 2017,,,3DH6GAKTYZBISDM6N4ZYSYRCTGOZYE,A3PB0KSWXYUEAY,Approved,Sat May 06 15:07:20 PDT 2017,Sat May 06 15:09:32 PDT 2017,Sun May 21 15:09:32 PDT 2017,Sun May 07 13:33:18 PDT 2017,,,132,100% (64/64),100% (30/30),0% (0/0),I really didn't love,Jane Eyre,no,Most books that take place in England do not appeal to me.,"I haven't heard of it, what is that about?",The way the book was written was slow and there was not a lot of action.,Reading about Jane's childhood and how she was abused at school was sad.,,
3I7KR83SNAY5GXHIPPZ6IIEMVG19KN,395K4VYE029Z6M20ENX5GZXUF6X651,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books",$0.25 ,Sat May 06 14:33:56 PDT 2017,3,BatchId:2793793;OriginalHitTemplateId:920937336;,3600,1296000,Sat May 13 14:33:56 PDT 2017,,,3EF8EXOTT2HV2S6ZTTP3QHSC3X7J1K,A8MFZOKZ7DV0X,Approved,Sat May 06 19:38:22 PDT 2017,Sat May 06 19:41:31 PDT 2017,Sun May 21 19:41:31 PDT 2017,Sun May 07 13:33:18 PDT 2017,,,189,100% (18/18),100% (4/4),0% (0/0), I really didn't love,Jane Eyre,no.,I thought it was boring to be honest. I fell asleep halfway through.,Did you think the actress they chose was right for the role? I think someone else would have done better.,Jane Eyre was an interesting movie. We watched it in English class actually.,"Mr. Jones brought it in and asked if we had seen it. Nobody had, so we watched it.",,
3I7KR83SNAY5GXHIPPZ6IIEMVG19KN,395K4VYE029Z6M20ENX5GZXUF6X651,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books",$0.25 ,Sat May 06 14:33:56 PDT 2017,3,BatchId:2793793;OriginalHitTemplateId:920937336;,3600,1296000,Sat May 13 14:33:56 PDT 2017,,,3U0SRXB7CERFENW16LWAPFR6GF3NRL,A2UGM73EHLK6XI,Approved,Sat May 06 16:43:04 PDT 2017,Sat May 06 17:25:46 PDT 2017,Sun May 21 17:25:46 PDT 2017,Sun May 07 12:04:18 PDT 2017,,,2562,100% (1/1),0% (0/0),0% (0/0),I really didn't love,Jane Eyre,,"The film for Jane Eyre was good, we should watch it sometime.","Well, tell me exactly what you don't like about book?","I think Jane Eyre is a great book, when did you read?",Charlotte Bronte is one of my favorite writers. Maybe I could explain some of the portions of the novel you didn't like.,,
3FO95NVK5CL98GQCOF8U0P5QIWKSRA,395K4VYE029Z6M20ENX5GZXUF6X651,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books",$0.25 ,Sat May 06 14:33:56 PDT 2017,3,BatchId:2793793;OriginalHitTemplateId:920937336;,3600,1296000,Sat May 13 14:33:56 PDT 2017,,,31EUONYN2WPPPFDUGK1X51GERWQVO8,A1LOG3NL4OE29B,Approved,Sun May 07 14:13:19 PDT 2017,Sun May 07 14:26:38 PDT 2017,Mon May 22 14:26:38 PDT 2017,Mon May 08 17:00:52 PDT 2017,,,799,100% (1/1),0% (0/0),0% (0/0),I really didn't love,Breaking Bad,no,What type of t.v. shows do you like to binge watch?,What do you like to do besides watching television?,"I only watched a couple episodes of ""Breaking Bad"" and thought it was depressing. What didn't you love about it?","I hear ""Breaking Bad"" is supposed to be one of the best t.v. shows ever. Why do you think it's rates so highly?",,
3FO95NVK5CL98GQCOF8U0P5QIWKSRA,395K4VYE029Z6M20ENX5GZXUF6X651,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books",$0.25 ,Sat May 06 14:33:56 PDT 2017,3,BatchId:2793793;OriginalHitTemplateId:920937336;,3600,1296000,Sat May 13 14:33:56 PDT 2017,,,33OOO72IVI793YC2LKSR9JYC5WLTCL,A3NGERRLPQMDNI,Approved,Sat May 06 15:43:34 PDT 2017,Sat May 06 15:44:55 PDT 2017,Sun May 21 15:44:55 PDT 2017,Sun May 07 12:04:17 PDT 2017,,,81,100% (1/1),0% (0/0),0% (0/0),I really didn't love,Breaking Bad,NONE,"IT IS VIOLENT, DID THAT INFLUENCE YOUR DECISION?","I UNDERSTAND, DID YOU WATCH THE WHOLE SERIES?",OH REALLY?  WHAT DIDN'T YOU LIKE ABOUT IT?,"WAS IT THE PLOT, THAT PUT YOU OFF?",,
3FO95NVK5CL98GQCOF8U0P5QIWKSRA,395K4VYE029Z6M20ENX5GZXUF6X651,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books",$0.25 ,Sat May 06 14:33:56 PDT 2017,3,BatchId:2793793;OriginalHitTemplateId:920937336;,3600,1296000,Sat May 13 14:33:56 PDT 2017,,,34S9DKFK74BOBO8NKGO4XBK3J2ANYF,A3PB0KSWXYUEAY,Approved,Sat May 06 14:41:44 PDT 2017,Sat May 06 14:46:39 PDT 2017,Sun May 21 14:46:39 PDT 2017,Sun May 07 13:33:17 PDT 2017,,,295,100% (64/64),100% (30/30),0% (0/0), I really didn't love,Breaking Bad,no,"I do like action genre of TV shows, they are exciting and easy to watch.",Really? Do you know anyone that did like it?,Breaking bad was a serious that got major attention and publicity.,"Breaking bad was about making drugs, so it really doesn't appeal to most people.",,
34OWYT6U3W2EA2RUPMEU52Z93CC9IC,395K4VYE029Z6M20ENX5GZXUF6X651,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books",$0.25 ,Sat May 06 14:33:56 PDT 2017,3,BatchId:2793793;OriginalHitTemplateId:920937336;,3600,1296000,Sat May 13 14:33:56 PDT 2017,,,3JWH6J9I9TZSYGFCAOAKP0M2YT0NB8,A2YE2I9DYV9OKW,Approved,Sat May 06 16:34:31 PDT 2017,Sat May 06 16:39:22 PDT 2017,Sun May 21 16:39:22 PDT 2017,Sun May 07 12:04:16 PDT 2017,,,291,100% (145/145),100% (110/110),0% (0/0),I really enjoy,Sherlock,NA,"I'm a fan of a lot of British shows, I don't know if it's a psychological effect from the accents or if they really produce a lot of high quality shows, but there's something about them that works for me.",What do you think about the criticisms of Moffatt's self-indulgence?,I was really impressed by the episodes I've seen.,"I think it's interesting that taking a classic character and setting it in the modern day lets them do some really interesting things, because the way they do the transformation can say almost as much as the text of the story.",,
